haul.id;Country;Ship;Gear;Year;SweepLngt;Depth;Fishing line;Size.final..m;Horizontal.opening..m.;Swep.one.side..after.formula…meter;Swept.area;RSA;GroundSpeed;RS
1978:1:LAT:4576:LBT:1:3;LAT;4576;LBT;1978;82;64;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:1:4;LAT;4576;LBT;1978;82;85;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:1:5;LAT;4576;LBT;1978;82;76;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:1:6;LAT;4576;LBT;1978;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.2;0.94
1978:1:LAT:4576:LBT:1:7;LAT;4576;LBT;1978;82;80;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:1:8;LAT;4576;LBT;1978;82;50;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:1:9;LAT;4576;LBT;1978;82;59;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:1;LAT;4576;LBT;1978;82;50;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:10;LAT;4576;LBT;1978;82;125;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:11;LAT;4576;LBT;1978;82;122;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:12;LAT;4576;LBT;1978;82;48;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:13;LAT;4576;LBT;1978;82;40;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:2;LAT;4576;LBT;1978;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:3;LAT;4576;LBT;1978;82;55;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:4;LAT;4576;LBT;1978;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.8;1.07
1978:1:LAT:4576:LBT:3:5;LAT;4576;LBT;1978;82;70;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:6;LAT;4576;LBT;1978;82;60;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:7;LAT;4576;LBT;1978;82;82;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:8;LAT;4576;LBT;1978;82;110;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:1:LAT:4576:LBT:3:9;LAT;4576;LBT;1978;82;135;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:4576:LBT:4:1;LAT;4576;LBT;1978;82;130;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:4576:LBT:4:2;LAT;4576;LBT;1978;82;126;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.8;1.07
1978:2:LAT:4576:LBT:4:3;LAT;4576;LBT;1978;82;122;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.3;1.3
1978:2:LAT:4576:LBT:4:4;LAT;4576;LBT;1978;82;110;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:4576:LBT:4:5;LAT;4576;LBT;1978;82;92;28;61.2063234;18.76;21.2231617;0.341531285;1.33;2.8;1.07
1978:2:LAT:4576:LBT:4:6;LAT;4576;LBT;1978;82;146;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:1;LAT;ZBA;LBT;1978;82;86;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:10;LAT;ZBA;LBT;1978;82;85;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:11;LAT;ZBA;LBT;1978;82;97;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:12;LAT;ZBA;LBT;1978;82;76;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:13;LAT;ZBA;LBT;1978;82;56;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:14;LAT;ZBA;LBT;1978;82;60;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:15;LAT;ZBA;LBT;1978;82;75;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:16;LAT;ZBA;LBT;1978;82;12;28;61.2063234;18.76;21.2231617;0.341531285;1.33;4;0.75
1978:2:LAT:ZBA:LBT:6:17;LAT;ZBA;LBT;1978;82;92;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:18;LAT;ZBA;LBT;1978;82;100;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:19;LAT;ZBA;LBT;1978;82;110;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:2;LAT;ZBA;LBT;1978;82;59;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.1;0.97
1978:2:LAT:ZBA:LBT:6:3;LAT;ZBA;LBT;1978;82;102;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:32;LAT;ZBA;LBT;1978;82;10;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3.8;0.79
1978:2:LAT:ZBA:LBT:6:4;LAT;ZBA;LBT;1978;82;120;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:5;LAT;ZBA;LBT;1978;82;66;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:6;LAT;ZBA;LBT;1978;82;161;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:7;LAT;ZBA;LBT;1978;82;106;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:8;LAT;ZBA;LBT;1978;82;47;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LBT:6:9;LAT;ZBA;LBT;1978;82;62;28;61.2063234;18.76;21.2231617;0.341531285;1.33;3;1
1978:2:LAT:ZBA:LPT:6:20;LAT;ZBA;LPT;1978;;97;;0;0;0;0;NA;3.8;0.79
1978:2:LAT:ZBA:LPT:6:21;LAT;ZBA;LPT;1978;;97;;0;0;0;0;NA;3.6;0.83
1978:2:LAT:ZBA:LPT:6:22;LAT;ZBA;LPT;1978;;100;;0;0;0;0;NA;3.8;0.79
